Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABOLISHING,149,669,2.54E-08,2.42E-08,1.58E-06,576,2009,0,0,0,0,0,0,0,4,12of12inf
ABOLISHMENT,150,538,2.04E-08,1.78E-08,2.83E-06,335,0,0,0,0,0,0,0,0,0,10K_2014
ABOLITION,151,813,3.08E-08,2.28E-08,1.39E-06,657,0,0,0,0,0,0,0,0,4,12of12inf
ABOLITIONISM,152,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12of12inf
ABOLITIONISMS,153,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12of12inf
ABOLITIONIST,154,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOLITIONISTS,155,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOLITIONS,156,3,1.14E-10,3.45E-11,3.39E-08,2,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINABLE,157,26,9.86E-10,8.93E-10,3.93E-07,10,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINABLY,158,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATE,159,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINATED,160,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATES,161,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABOMINATING,162,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATION,163,16,6.06E-10,4.93E-10,2.05E-07,12,0,0,0,0,0,0,0,0,5,12of12inf
ABOMINATIONS,164,1,3.79E-11,4.09E-11,4.57E-08,1,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINAL,165,5214,1.98E-07,1.41E-07,7.96E-06,1414,0,0,0,0,0,0,0,0,5,12of12inf
